03/8 03/9 03/10 03/11 03/12 03/13 03/14 03/15 03/16 03/17 03/18 03/19 03/20 03/21 03/22 03/23 03/24 03/25 03/26 03/27 03/28 03/29 03/30 03/31 04/1 04/2 04/3 04/4 04/5 04/6 04/7 
Rockefeller family	0 0 0 0 0 0 0 33909 16882 9517 7184 7404 6262 5488 4543 103770 5987 4533 0 0 0 0 0 0 0 2799 3205 3301 2929 3014 87327 113241 28792 0 0 0 0 0 0 0 0 0 0 0 0 0 02928 3107 2863 2957 3049 3176 2835 
Finn Jones	0 0 0 0 0 0 0 27044 23139 18678 18754 20878 17365 12609 11161 34291 10963 9516 0 0 0 0 0 0 0 3884 4389 25287 65471 65943 51106 35970 21420 0 0 0 0 0 0 0 0 0 0 0 0 0 03445 4728 4369 4513 4908 5484 5030 
Dancing with the Stars (U.S. season 24)	0 0 0 0 0 0 0 36231 20274 10173 9260 9371 13095 115954 25592 173426 14524 9453 0 0 0 0 0 0 0 4751 7818 9253 10911 8690 19407 175292 30876 0 0 0 0 0 0 0 0 0 0 0 0 0 03801 3352 3203 3524 4505 6345 3210 
It (2017 film)	0 0 0 0 0 0 0 6023 5807 5895 4820 4807 5598 15851 178859 25153 204372 181671 0 0 0 0 0 0 0 9411 6724 5348 5285 5862 6225 6392 4543 0 0 0 0 0 0 0 0 0 0 0 0 0 05155 3764 3357 4548 7387 8769 3715 
Neil Gorsuch	0 0 0 0 0 0 0 89835 46114 21261 12241 10632 11140 9398 8343 129089 13594 9347 0 0 0 0 0 0 0 3668 4613 3523 4179 8782 34341 132241 74568 0 0 0 0 0 0 0 0 0 0 0 0 0 02581 2354 2407 1757 2645 2934 2035 
Angela Merkel	0 0 0 0 0 0 0 16351 16852 11349 8857 15457 17442 8253 9109 22923 7619 8284 0 0 0 0 0 0 0 5557 6551 53503 125198 70997 40682 24105 11169 0 0 0 0 0 0 0 0 0 0 0 0 0 05440 5372 5284 5544 7352 7622 4643 
Steel Serpent	0 0 0 0 0 0 0 26060 22020 17254 16419 17300 14793 11253 8937 34276 9083 6583 0 0 0 0 0 0 0 336 407 11539 50125 61257 47955 35864 20781 0 0 0 0 0 0 0 0 0 0 0 0 0 0223 265 258 332 716 488 264 
More Life	0 0 0 0 0 0 0 60092 49488 35937 26178 23659 23920 20243 17259 82121 15995 16028 0 0 0 0 0 0 0 6836 8977 18113 61778 289967 131764 86970 44011 0 0 0 0 0 0 0 0 0 0 0 0 0 06211 4744 4731 10056 10382 8379 7305 
BuzzFeed	0 0 0 0 0 0 0 308507 8550 3478 2830 3200 3277 2689 2265 3801 2153 2274 0 0 0 0 0 0 0 1812 1677 1561 1443 1587 3924 3928 292234 0 0 0 0 0 0 0 0 0 0 0 0 0 02292 2043 1560 1669 2058 1867 1638 
David Rockefeller	0 0 0 0 0 0 0 128122 60260 25453 15568 15147 13867 11008 8198 376573 15856 6434 0 0 0 0 0 0 0 2074 2287 2006 2071 2254 356272 414080 108751 0 0 0 0 0 0 0 0 0 0 0 0 0 02879 3525 3152 2445 2274 2334 2598 
Charo	0 0 0 0 0 0 0 75154 35154 20320 16248 13616 12338 203490 37631 463413 27103 13608 0 0 0 0 0 0 0 6494 7550 7772 14329 10777 23518 464425 68523 0 0 0 0 0 0 0 0 0 0 0 0 0 03311 2897 4501 3964 6734 8100 6348 
Yogi Adityanath	0 0 0 0 0 0 0 75064 55965 45132 44396 35941 30356 22893 22345 108083 17729 19302 0 0 0 0 0 0 0 6724 7204 8005 612760 334400 183079 109204 60277 0 0 0 0 0 0 0 0 0 0 0 0 0 01112 1367 3835 10952 6304 6039 20210 
It (novel)	0 0 0 0 0 0 0 3401 3562 3576 2641 2665 3145 10004 192352 27821 244083 202557 0 0 0 0 0 0 0 6171 3845 2560 2600 3237 3499 3452 2593 0 0 0 0 0 0 0 0 0 0 0 0 0 03352 2135 1812 2443 4175 5879 1995 
Pi Day	0 0 0 0 0 0 0 697 543 547 374 339 414 423 450 951 276 433 0 0 0 0 0 0 0 25387 5013 2383 1307 1109 1177 970 500 0 0 0 0 0 0 0 0 0 0 0 0 0 02274 2255 2276 2026 7936 449365 4785 
Martin McGuinness	0 0 0 0 0 0 0 77837 53016 37991 17744 13042 11755 9206 6426 217668 17588 3227 0 0 0 0 0 0 0 584 619 710 538 621 589 217492 76027 0 0 0 0 0 0 0 0 0 0 0 0 0 01429 968 2693 2781 1015 950 1940 
Azure Window	0 0 0 0 0 0 0 939 890 849 832 1018 873 762 875 1081 614 1173 0 0 0 0 0 0 0 2504 2103 1661 1545 1528 1316 1115 658 0 0 0 0 0 0 0 0 0 0 0 0 0 083444 149130 54120 20861 23978 12667 22903 
Cavalese cable car disaster (1998)	0 0 0 0 0 0 0 547 372 224 577 425 790 382 192 307 169 253 0 0 0 0 0 0 0 1733 842 508 598 418 309 317 170 0 0 0 0 0 0 0 0 0 0 0 0 0 0245 402 261 296 213284 140933 393 
Hans Oster	0 0 0 0 0 0 0 532 490 405 350 365 281 261 242 1010 211 273 0 0 0 0 0 0 0 212 246 190 174 185732 32512 1103 409 0 0 0 0 0 0 0 0 0 0 0 0 0 0266 267 237 238 221 219 192 
Shavarsh Karapetyan	0 0 0 0 0 0 0 116 114 92 86 109 98 88 63 162 186 117 0 0 0 0 0 0 0 206 245 163 187 174 168 170 85 0 0 0 0 0 0 0 0 0 0 0 0 0 038 401899 7300 683 374 354 1279 
Joe Medicine Crow	0 0 0 0 0 0 0 118 141 103 80 90 121 119 488473 45855 107968 12578 0 0 0 0 0 0 0 81 101 102 96 109 105 104 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0115 111 86 109 112 102 291 
Captain Comet	0 0 0 0 0 0 0 100 87 83 95 84 684 159 384060 27773 297276 70299 0 0 0 0 0 0 0 94 127 76 78 82 77 87 70 0 0 0 0 0 0 0 0 0 0 0 0 0 089 90 95 104 87 110 64 
David Lewis	0 0 0 0 0 0 0 9 4 7 10 11 13 10 8 15 405512 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0

